id,imei,imsi,iccid
"+39 807 57 66 1360",511036710173887,222584592389841,91273003909304861585199
"+39 103 9915029",287634642931026,222176374724938,08258820060937734670162
"+39 7795 4808848",997567177258673,222864245740515,02755429733950301726232
"+39 86 3802787",065433422401575,222878693111028,91057722145189996068760
"+39 44 68731866",812079754664201,222832362464468,31765632546328198815538
"+39 64 7893730",919833810307565,222563713072330,54399576507014969645807
"+39 544 0945252",937940987142739,222293976552321,29441775395792053922074
"+39 92 8164792",110355736793097,222791921287116,86846553094502489732617
"+39 14 87107040",079149822757721,222715977921103,23559733661498403464786
"+39 706 27622508",468427125298851,222244644723165,85712931770169471956646
"+39 574 7285075",683927289996702,222351061276650,94911039161948688780489
"+39 423 3753833",336960262820939,222967542625249,98053257137123248231369
"+39 05 4301603",173252120305121,222669742313564,28035408494720564921881
"+39 910 68 21 1768",815463705307820,222591032454291,92300151424637968086662
"+39 9542 2237498",946721347707653,222719174947915,24042488515815046746273
"+39 68 97564790",323536572575929,222528593008257,03572311958542188523878
"+39 30 16898753",458769475483449,222683630660126,68548879980197192640648
"+39 071 14 88 5704",296274581617598,222324143559888,37865420275196463590497
"+39 017 88075606",257863532796167,222358246002335,42254165780615138216962
"+39 186 2254277",477659579685998,222702636182565,10877274877401472810340
"+39 018 43 63 1941",968909232384877,222707264011658,42106963577798886806104
"+39 451 50436659",418784613313621,222083868015847,00133632602051353910909
"+39 9403 5753922",875314919112133,222495207363966,80902395605407796101807
"+39 45 21493269",297065428541291,222550976029433,12261089298714467336516
"+39 4978 3689602",128142817138131,222740195105170,86213298246467284662829
"+39 17 78344622",647394976342077,222857795307439,40709443437752810816075
"+39 386 85 63 8335",160832350714327,222264166251302,72091769881319448482478
"+39 769 67 98 7789",957472347893723,222018371009338,38090672396813133005103
"+39 475 74 33 7296",765615028180263,222592225746551,35109376734109476389582
"+39 5682 47194610",663257935776629,222193809467044,05297344083629357985257
"+39 39 11923711",505189239714158,222326319642078,60643206658368983104171
"+39 04 90531628",516030499579492,222151692597766,78016380697083460576208
"+39 9987 1386529",190854046142204,222580720177034,03779491508450859876623
"+39 208 36 45 7020",975200560185602,222854198406340,26562711062737231613935
"+39 8154 6232491",574584802287580,222011155586257,12139887228214423281817
"+39 1983 5661998",383633387811511,222818820254414,28238493141992983329285
"+39 1955 15122594",649144423051666,222631472364067,42609096147306874119357
"+39 70 7881328",045094269294344,222297245076655,56759993813968447897543
"+39 8083 4626820",824939509053040,222008528729561,27811705336784132819145
"+39 0505 1048205",430758711477045,222041490278479,73694339214228774553712
"+39 795 5721882",329151348888624,222697046880071,66031112937641739453948
"+39 97 38812021",753503593440482,222140217485942,42929801760738604113353
"+39 750 6402317",993127443378948,222345941358877,57742145764890025217510
"+39 5089 0276688",314767677661592,222552978079942,15534471717076852985134
"+39 220 1126898",255096052963899,222261812979465,79039736713769197072008
"+39 733 37 18 5649",949920495378377,222205396876426,93170250742996368161776
"+39 250 32 07 5558",316843093069757,222606017164116,32133542776453988692338
"+39 987 61 05 8599",913597350611845,222567509917221,88446976930028670879349
"+39 52 95307040",546904238056091,222273807563059,67181670553440699681374
"+39 60 1591537",553007048999698,222977512221448,99791855289350350600238
"+39 001 16 69 8232",499313637330395,222195644935740,52560774460419096567928
"+39 858 96755534",386744786339165,222245806610771,10550228370146704030561
"+39 11 18280063",012738419492369,222812061135589,63460978060835783667631
"+39 930 96635484",425154168832402,222817145999707,32878707823793748388532
"+39 25 87131434",071057131560579,222523895430204,33771270235297248709707
"+39 10 95070156",256502279502161,222302442903239,63065171135489216650731
"+39 366 10792523",989557197250321,222682869214866,49666769594787156431302
"+39 007 9137444",208303599249545,222749019992232,94959567690795192005645
"+39 404 11237038",402693185202682,222209458569393,77647259877348126204264
"+39 9399 35226592",010309380009988,222819725418398,19980671129050103318880
"+39 067 99 44 5140",034008739019100,222994903163306,29231075470292634375659
"+39 8310 78559794",933118399508052,222942124512504,94653658474898279153060
"+39 29 4901403",650769881976008,222386100027950,09338265225571273679532
"+39 0003 86557435",925907028406823,222237754832278,31273253967495112015691
"+39 544 46310255",507290908969541,222048331949670,99190948569436935681156
"+39 609 30 43 5671",216467928565150,222420100860404,90159592590028536414421
"+39 285 5773754",268050436034229,222944022620622,10583842182682913159616
"+39 1269 80279861",926043134788570,222274881970604,36607715444976815746663
"+39 76 0497163",110721651875617,222693287347393,21041673218504855156154
"+39 362 19 80 8975",733336014000857,222015705537242,92070447410897778530269
"+39 243 71033548",722527945418381,222962695974260,27466036984691198513996
"+39 68 4689365",546954592637010,222523877835896,03034851170597732297667
"+39 575 4383263",249061908789590,222381760834639,70936957384459580445655
"+39 244 5057010",103597501283809,222431810604086,75219547483356114692206
"+39 20 9244803",944604230700476,222422642538868,37127000390080511449829
"+39 22 8387651",138715855000715,222938198696082,00482130582908136229061
"+39 737 69 74 1964",382521623015594,222865268415427,57777889578711935352469
"+39 100 30684802",205649923891813,222730882871431,67432865439867950925988
"+39 4103 10480981",480998908614112,222944817943435,03095448586674665062563
"+39 3419 3491975",868499859844057,222409393631372,55728124143542719757728
"+39 5049 8527801",870416355465407,222815519420146,85987881290220548447972
"+39 742 94 86 9503",458191732233212,222586561819918,29424338435624855858083
"+39 342 0038620",250448557541586,222059161438585,52265120895616005925662
"+39 59 13630421",423334679694002,222225872007302,11675769618245521063400
"+39 2358 19136479",725495136540693,222095659460233,84440053264037905391425
"+39 4450 3039283",026136393199346,222361323506903,55529048752342172015431
"+39 7889 74680043",312998609632474,222304868386512,24134735578028324691875
"+39 03 1439562",785965263181880,222443602425128,42317933685513955107780
"+39 85 5035883",284884882937307,222596547049893,89209624632812891948294
"+39 7160 85888969",138028067017679,222737133847618,65014591331618369453182
"+39 58 1520922",657982544647444,222079367183535,48640147522904061608010
"+39 2080 9033002",835079414311568,222396233272137,03317235026391618509464
"+39 792 80116937",270892719846761,222756497147495,09389298240552168578815
"+39 1014 1067463",579045036131304,222017414512847,64782844273632188610522
"+39 39 27756152",386735819743811,222238728345025,25223637766163193276489
"+39 69 9944073",761384557894653,222234534954386,67579069216123024207776
"+39 267 11822435",551501461988701,222232416154926,31647490583488017492454
"+39 4072 88468209",188585589930092,222656506228503,20459900278758258419731
"+39 32 6337169",892913211658104,222095627669300,58667025435531724066137
"+39 34 3216645",312922638754844,222922850196736,26251557263440315774117
"+39 192 26 95 5643",873000116151600,222973623726660,85041069574016574606728
"+39 6416 2950552",790709045242542,222133541843972,40908553252237869154666
"+39 9981 17051801",675174418608748,222666316744704,30129028544962095971519
"+39 838 56799302",968644289454022,222168423594766,97839202670595302831444
"+39 62 7630430",444362860266327,222610196018163,93478985196109391857623
"+39 18 6016223",060212465534723,222783329124335,03269338233850411634919
"+39 228 70 05 7386",042580319999232,222527777776673,49569498633157259432481
"+39 02 55474018",911542068996080,222509131429134,07995802881763377306236
"+39 0473 6461957",800775679995281,222200727215943,68432901816300911889790
"+39 4631 1741770",667577107983489,222684920594426,03990141189924882345509
"+39 3267 8887802",414808745427167,222095155618071,97313390365467564471814
"+39 15 0623938",287021672606340,222260200997863,59958139537875654236026
"+39 593 8478185",580768797097672,222912565588783,41230807917172784097183
"+39 01 4557520",065201366330567,222558878166046,00091940380139736535272
"+39 837 6343685",590379215328273,222318172463090,15435137621553147236467
"+39 141 75936709",689857228038957,222967737454128,50112190597001540146889
"+39 3732 6189814",676632707843374,222570098686805,65215319064282130008308
"+39 269 78223288",668693924582245,222933811008498,12405811658858442506996
"+39 82 5666899",491710509638706,222203469684931,30680125621585193935663
"+39 51 90705768",478495679330196,222317135325292,90315492767245836447841
"+39 35 22633401",611057060696425,222790335725107,56791586151085607574663
"+39 804 21349966",586560943924998,222727661458524,47283865207882389467991
"+39 0013 3791831",802983473972872,222995615792894,99513919721533299353103
"+39 5550 34499613",543117781546110,222511663710562,34354326146139953269967
"+39 47 52988883",866961718183375,222338176493366,04458172890493168806764
"+39 409 1609963",547241806207924,222198382187101,22054875678047229501008
"+39 813 0625376",979772987139673,222135800215369,91696823524811209589381
"+39 88 37695336",590248048517032,222128247152313,14580883968130893570849
"+39 4964 53792812",104043059709340,222667490944370,93124592500931831956472
"+39 934 97834192",527816709450368,222499408825033,63951126710095736930802
"+39 3199 50308951",688371937160996,222104392387887,18640855258328939113535
"+39 12 4828693",477019609297324,222985531110081,94958611983152003759098
"+39 144 39945987",042324353280393,222505184520991,94782380856962476520746
"+39 3308 7645970",301255744338357,222239630586874,31720180561872154936246
"+39 49 69137811",903169052739373,222316424947780,13544306204866185385981
"+39 9304 26932223",194192997871596,222646968133212,81661328902710172974287
"+39 86 8184790",638226272421893,222768688985823,75622411365720015793871
"+39 981 6863064",987790475018811,222257944145332,61722853287834945350327
"+39 7601 86575249",159863761062850,222556360379204,61005132899075464121635
"+39 777 03284372",229851507733849,222663114457209,31868761416772575385856
"+39 49 3547274",504334532096165,222125760264204,89993561180212923132126
"+39 2969 6949515",323391852397853,222034516148464,45404357594805025628582
"+39 9216 3595221",235388956584383,222329032992587,97965095540587444384350
"+39 65 7566578",849786118078103,222916702747550,65953889379881893308470
"+39 81 4269476",000094739649633,222583453355180,18543210343329798561197
"+39 305 45 69 3167",260802813900259,222577347417365,88584240972362841204208
"+39 671 58 38 2484",726785145332838,222772264465380,09510950693007497842226
"+39 4641 43088133",605031335670778,222957278061547,40708668295153726091040
"+39 882 78365731",228183838612646,222856699316734,89561586794115281983161
"+39 62 0566445",792930716780879,222076121225600,88876516467061869771641
"+39 292 6767268",310845406913817,222252708217634,19193046950320230537526
"+39 1580 55324113",468417727664832,222125060756993,14053340104906716399993
"+39 926 95411306",549303806917791,222756525871484,58429919655982903097318
"+39 547 03 15 4020",920142860272142,222120853072865,75070966188258116478659
"+39 7172 2061750",768067845606756,222666101917863,28302568809628888690016
"+39 174 4166827",337934264575261,222670416886933,42690887802201279751292
"+39 4161 64603009",817482730914796,222801888633818,53160425863178085322513
"+39 970 15 48 9670",082696498784798,222200798985449,98311377359233176450090
"+39 299 81 21 2925",239089874975788,222392283251318,83145312430684064995618
"+39 128 6388339",413331339918955,222481605912270,60632012444318030250430
"+39 212 3070987",918828313962289,222823567820092,97962339404603269525231
"+39 4451 97768942",698774223368652,222129890010929,20239874121221871269838
"+39 15 7648480",498447716442209,222395867876742,26513826553481194789059
"+39 9395 8150500",128026798156057,222894358784186,33323913552594327296496
"+39 760 21085760",606007439098958,222056399481106,08783837832216109096229
"+39 118 18 81 2093",144280058329025,222515481420517,23511077149466501803172
"+39 236 54930028",443069827879404,222740294918658,32134605421226686341306
"+39 9008 4897593",973151166492656,222078644915760,97451929844747611487956
"+39 85 57663281",332735140667973,222024931205317,34804023520608995139748
"+39 023 79 82 5536",661707912176898,222203695737609,80980290955019086406137
"+39 631 3472765",614654035615469,222204171254618,98915041302546518880991
"+39 700 87 01 6969",071596237074480,222959540295620,31618393875658520928982
"+39 590 68683051",818868293743532,222077685572871,53773255648272374106497
"+39 624 56182790",830235034290054,222683190340365,34709847243033494547172
"+39 561 63946511",913940650270179,222009989833342,87872100357595127000683
"+39 464 83 63 8039",786218461625517,222359047917367,62627676479877869158348
"+39 39 73707050",979611686178345,222257683397834,06030678842977197361350
"+39 5027 21313236",188711441622061,222555311400544,75677552032936933931363
"+39 778 1140674",285533625743063,222376584557139,59616631170949359267495
"+39 141 33350087",726596280553678,222942194511154,17785345787057743713417
"+39 2474 9679074",577298690952281,222919990373526,09060709749590874737760
"+39 55 50436952",461067411422968,222301392397887,49233331566132817732508
"+39 08 09761378",908520887830214,222037110313290,68250399879474819076550
"+39 9482 20813639",110941295382073,222662691260179,48437628114808747547270
"+39 90 00148223",057871427880360,222652010116164,28484230076037230515256
"+39 0265 69819372",632103649394747,222333578377885,84497056836134679872377
"+39 72 3404499",849023365395315,222581939033192,85653658169200430606615
"+39 91 4831299",111401326179351,222175264135218,25733656579201505443742
"+39 5993 73667115",980480131869974,222219802319530,52501947111045281140713
"+39 429 96 00 4309",225314902547615,222395790182041,52248993231855268837934
"+39 88 1437051",165839219282557,222213385354672,36236622521931863094287
"+39 15 95131457",300304913965367,222160082094068,12742822466193557735748
"+39 209 0129099",976780672612360,222747181581598,10642787092215084861432
"+39 16 5928194",820234795426595,222114004042711,03049888078800025930509
"+39 807 0292372",996625309540813,222350711444297,96081113151487533656754
"+39 660 9078486",503958894208157,222700453716144,33286666830100037667548
"+39 0994 8924366",073086068127787,222866302156185,43959713436616914924358
"+39 129 5460342",335472418382112,222485184177819,47648312550781074703551
"+39 914 89 50 5553",015121188534249,222567779810201,55282124950813664281125
"+39 646 2112126",107552814472405,222649924649101,23503772525806989839547
"+39 575 09762997",037108162959710,222574132574878,55572986451792667453367
"+39 937 88917757",109055870541418,222832081000688,43862280771642111254729
"+39 4895 1370503",555968458416572,222484771822024,31690738380748374726015
"+39 703 49 34 8472",016009799256188,222838474568753,11020912714922303400676
"+39 014 0477964",606483986110050,222448717856043,80609694558739553135449
"+39 62 2370406",716409688779824,222547524973618,87465590726639977429896
"+39 8111 88777768",552012457884770,222307809472463,30470413632519590299275
"+39 940 5784585",268982585594431,222395712947732,86018391922949097123264
"+39 81 5899715",889394063734266,222637816320600,51657991525714490763225
"+39 781 3402905",127139486146610,222545912442490,67043055378013704578854
"+39 12 76661644",574055976539098,222827690472740,73158452375113688808144
"+39 1806 25555852",372909153137668,222068620517216,02830985009724920523008
"+39 18 1117516",283883492320673,222050329929169,63766313250557247178812
"+39 71 08343480",928416188323965,222309723399039,31386494179114468496813
"+39 1968 73260392",191486745445247,222563260438158,44125079620398489150557
"+39 93 74814232",091593308509912,222849753070272,53015100326800881332654
"+39 117 05 87 6541",690427950399006,222378814317139,84168861936567972565992
"+39 6085 15371578",529947720357981,222607769211182,70584270236542082426035
"+39 79 23791664",560409676494466,222614923994620,52633405162575346535703
"+39 59 45477778",690221325133004,222344252743104,48436525066962637261109
"+39 365 79422329",834920235149722,222018832406521,42108974691815598957250
"+39 468 47 59 6692",588669059346827,222564506286827,44241955683664752696871
"+39 1729 3575651",403461295167347,222360679329607,16442295614023149405381
"+39 2481 16979575",481892016499897,222858612835938,47253214406100397250804
"+39 20 13322504",792263023685676,222596393608949,30136994792088469467174
"+39 27 52962213",891197804303176,222457334964248,54247611203940540414030
"+39 082 9692396",928324457197872,222335191647734,31650308940466762566561
"+39 2820 5568142",030963397807838,222504531002003,55734896694292598508267
"+39 790 10 43 9917",198428038430943,222934350198228,73606084714979544034615
"+39 41 8573645",134817846267611,222137330337708,40742030852788103114620
"+39 075 69950797",205738842281808,222763219641676,48159811643833869284245
"+39 881 1239579",376494318413524,222904349006032,46526114144799437192645
"+39 7819 2138578",129687172344525,222650702133399,78414129168199076382119
"+39 99 21039009",698102335518016,222163149196560,09757072929574434904709
"+39 8666 7792306",934451936599915,222808060978028,72036337915100420779147
"+39 59 37180552",404481665897025,222078731596512,95101279557528905308826
"+39 4096 5509948",475906089536381,222590672708453,84514289425694982412842
"+39 357 93 37 5357",002108178087200,222282443788797,91452363774182719989257
"+39 5585 19167501",242485265185356,222051107704444,88011698025414046904766
"+39 987 52 58 5898",662997223387743,222531731038800,15267928069859928104558
"+39 42 60375858",910298677967373,222727899612036,44415535476643268479304
"+39 86 05094415",753195645808699,222277587265705,52734221144653323381680
"+39 754 80952484",955250917908010,222040186127815,66344345878267879841608
"+39 4173 74135193",789867182648369,222287629174427,20779315082814533457473
"+39 397 90 37 5808",528902227890506,222425444874093,48427321289053557311789
"+39 00 6044704",160273765562722,222302887976926,27689613735515834940041
"+39 5977 15479665",798318228186849,222116687110465,32776590786050973703127
"+39 8993 3101234",324678642874889,222056751478519,20534061363683013898944
"+39 5755 7791415",392699592107176,222840299839503,66565679883556766649471
"+39 9430 3533636",165048060377702,222218547928001,74659098280034631924514
"+39 10 7352556",358424937582450,222766477324707,83442892563370993357696
"+39 44 03756853",920271710440045,222585619235210,61409496639734091520405
"+39 389 23703756",496330089293627,222753513768922,00913067493537123475295
"+39 595 6637025",484687617459374,222522962269126,94090806104243288792885
"+39 4336 6294152",234120073591194,222322307852415,36735429568610283633193
"+39 6754 22679939",135966179214234,222450128872927,54068120488361224467356
"+39 415 89328365",175155977633099,222535188210252,18876477865516575736444
"+39 583 26895220",434570428824906,222267156827718,12108152304927555906702
"+39 94 70129314",224970893365860,222949511003935,02616564112130071516683
"+39 9700 07251650",238922856680763,222427708378701,72054343941941665543281
"+39 36 3422685",151874727192861,222773035379831,15903909659877635581187
"+39 458 01 67 1938",081037527046381,222452131739100,49018672315455044836210
"+39 608 78487950",217925881622374,222022381883945,27670319012009915272861
"+39 13 21033217",529502004283484,222412470834547,02131267594254558148423
"+39 707 73 93 3097",558955039192910,222001748790213,07245499937094575678425
"+39 33 8659023",869795749957754,222082665558612,96427982496495764281858
"+39 2070 9595357",453413259881388,222939286344384,35763486388405116720639
"+39 14 8264554",823003981481806,222364332261455,00035838659039339192282
"+39 1407 6304932",185425690239989,222719234419868,86721828633634985458779
"+39 967 61082200",505242341669982,222212686532803,72497219503609998160381
"+39 649 81092460",970779718171411,222189760015243,67795964942152495177672
"+39 31 3518307",509185264696977,222180692402928,59615574515706524384788
"+39 3549 7728544",326886446249665,222989601442221,58262145299318988352696
"+39 50 39397652",802815676915219,222741045812747,78709244854476727311568
"+39 891 0782851",027935320868843,222590309498443,69140194280091359342950
"+39 036 04683896",537247339771551,222803230551836,65781984863921653437554
"+39 965 42 55 2563",189153375060993,222266418492106,00632147179486614297894
"+39 023 13 08 6508",081108250916551,222137373027648,04228411563827326222546
"+39 465 86815039",156924077080391,222069742654902,37524814188268214187940
"+39 10 28948785",181885345376607,222786698625759,10079791266845657431272
"+39 35 7108282",986377765055256,222543175365711,42282622890476338035477
"+39 7727 7661983",575941617967864,222584032400288,79639641631499291429640
"+39 955 4986761",067444880593447,222258820131062,83234027689118635491710
"+39 5040 0938455",252925540097618,222218780956400,35661565060749111314750
"+39 403 92 79 9843",813517284517034,222883960579184,94315238528702797491647
"+39 31 0455511",302968177356808,222070075748721,42511885807543345096798
"+39 312 58540428",188090982353760,222511439687654,21997698296007505651034
"+39 7121 95094942",621060669422589,222517591952135,38707060178485479649633
"+39 0832 5617283",275205694917819,222712385462033,42051806432812479250314
"+39 859 99 02 8436",287490692906297,222357654220515,63822329153245902869000
"+39 417 7623871",702050878459813,222624828666106,72466341535205336954220
"+39 30 07062291",577917841308040,222193561929806,46934608033977632735258
"+39 904 79696287",339026729906674,222625516000143,62518222979566961599836
"+39 08 16463060",982418622792147,222731760466992,46786281505006512220183
"+39 27 72857070",278511346791610,222748497523705,31395277737917193893176
"+39 98 68585358",450474569464912,222560098207411,08642695012721529095482
"+39 68 3792242",829380116166815,222500321361625,71876454046233883449575
"+39 66 34292062",780787426137194,222852186826462,47929615232182527486799
"+39 352 19 19 2769",439804844357075,222505108815310,27948256449889023365738
"+39 68 3973795",052640939678371,222963274522518,30049618580294751432424
"+39 2647 39703246",838949071010967,222385815605468,39484150307542155704361
"+39 6172 4629339",570416955311129,222814000918267,02086549407261911121370
"+39 9479 2309463",149365012882501,222057461505230,05871332231515469589659
"+39 38 93256661",631530939770791,222456919156013,77461248011443847021015
"+39 7955 0441864",254199594750443,222762905732439,57294029725938827477406
"+39 1868 2077915",096865414164815,222723201624116,10062722732362392709947
"+39 57 0465591",102178439649394,222064064837280,52924711272872214647991
"+39 39 40288767",098601688486958,222503531158546,94066774178382229547734
"+39 54 62513064",020356946608611,222187745517959,36776641628285070712472
"+39 6828 02097753",108652128584512,222966569316543,54816086079942197553331
"+39 52 5769889",790518445584241,222098374635274,98197308678527747070313
"+39 205 11641476",060779066169018,222019239568086,18869227825836840786223
"+39 5713 4199321",431261490805220,222795667287516,55326417302250915218633
"+39 282 7533359",816813213377120,222678038051467,08931502381379582884895
"+39 3173 4393517",506515627690437,222243247224321,82385287934716096166101
"+39 341 24336442",386364743813903,222690896620363,68731279935624135749471
"+39 07 80637368",363901270477409,222806594874882,11463305823163938424067
"+39 4102 37823660",837156855577507,222715159751039,53550643434269609385858
"+39 718 7391634",883015202546958,222431203546024,65686236368498771650930
"+39 276 52921177",997919791323617,222710099050077,28303391364805350821336
"+39 4979 76016350",396842467041601,222660684504135,10031508533580256680134
"+39 102 60 76 1443",629717706011418,222672735003128,69393192639759875825429
"+39 36 97538137",501851191390384,222217831542740,49770526493452334712656
"+39 8433 04646999",604072797648473,222131024127660,53038718557800960219204
"+39 1633 4916318",263804584605148,222042989536438,79946993973886222673909
"+39 9898 58584155",225133639598406,222501010506119,15234834439250640266110
"+39 512 52 33 9937",023928364804794,222881880378737,22910424583132900547903
"+39 8185 60035597",695828853943920,222503983441717,52417905162170762862160
"+39 2203 0531840",422170232852534,222238920403734,52919194112479415958779
"+39 11 7289338",333218171863810,222466849267588,26576450375621606870364
"+39 148 40878128",820668344073533,222181791523461,86088112680031536237380
"+39 1999 0118974",986443764305546,222928843486095,78437006029090248192589
"+39 896 19442275",876234598279517,222190424026312,88108183527704659627971
"+39 61 65089789",670888669230937,222189930634265,70099980802499728481344
"+39 520 18519269",394518062186569,222402991157316,50323657846599777304545
"+39 815 5846165",400732778525976,222967452579430,48601426566046274107463
"+39 888 0353766",340996871524680,222084101304826,98486766569662751825574
"+39 656 80 04 6768",300684908968553,222876603233182,61313933536574763586578
"+39 937 2162700",528871574924541,222842338913884,80741049118592206173252
"+39 807 49 32 3931",956366291838521,222500618023907,06090630488214315220988
"+39 6825 5934843",577628750145105,222849665566896,89411562028428965638287
"+39 84 96138169",833325191851595,222723267313310,92321638175034410182319
"+39 631 59306248",370150150401664,222279717465722,93855800101811079191559
"+39 494 34969985",049881316918909,222044851160925,25342426374184131966591
"+39 872 50 56 2933",803669917742398,222726405425440,35166050909547090323703
"+39 271 08736878",169001740796342,222105780957414,49719000341010415988837
"+39 757 3644209",461595581244705,222961672175589,52706464618871450002674
"+39 03 45720573",741191471372459,222839798219195,34087424809390199731162
"+39 16 9583999",397839285260669,222089557746909,98094031438310805816429
"+39 5071 8859389",244684230349570,222277437990234,06216746897632487360761
"+39 125 18 01 1060",783337016878653,222063659959668,04391290434123707113017
"+39 2089 58705526",352286489010404,222448374053509,99969029735272895404132
"+39 05 0537835",754260112280084,222872465860127,65741685178067190411744
"+39 30 4204861",365169582139087,222781852293962,58996577691995633950643
"+39 9273 5942017",692746142456798,222355153856366,61300234472962414950497
"+39 7565 56337764",666830583112490,222858210885247,31386875013389596991022
"+39 059 77499353",387569506444162,222546984417777,46337977759277542104743
"+39 07 89064037",569252285460788,222273806719626,81933803267809207871873
"+39 379 04 35 2079",373846580707334,222826723965366,05220827277434918991031
"+39 67 13019449",424622324350700,222150164519552,95733050486306824025475
"+39 7283 9392846",888265490063092,222381596780309,25936946165412375628904
"+39 893 54 85 4062",787188699963395,222598184221018,54280765876884711466460
"+39 962 71 29 8580",725514826781423,222219096375760,92209902686142058991732
"+39 56 79406924",428476501221424,222357846837380,48571283876032397360821
"+39 0402 83579838",633536176709010,222413497955437,50184285766206686220572
"+39 83 36416528",468044226224213,222042946875167,55362023082028675888531
"+39 09 37889477",004084392757662,222025052819866,04400388794068269870113
"+39 147 7037614",198632743717755,222192334184429,46741044794022712057388
"+39 180 76 65 8799",993353673523769,222786831299418,49658572504994213303956
"+39 71 5882795",473154165930200,222146056667076,51404389050355954916812
"+39 918 1933189",038239361240708,222385261256630,33332230801582453817729
"+39 3478 51620088",561016655846571,222278511594682,86123413867600386415116
"+39 546 18 00 8181",900797068156118,222947233236155,39383573480225770746033
"+39 252 71 60 4494",759151272587266,222418694051351,03912704317921847035972
"+39 542 47305455",330715131533196,222290759515400,35431939575469978382121
"+39 207 7205536",033369089997985,222805370894020,39471013480185270069320
"+39 6371 07297455",722888541584095,222640397869878,00857743367492514156038
"+39 9200 85472780",610763702052098,222534265025142,31996852085274163558046
"+39 149 48348488",254111604297141,222003947994437,23438612487682575488757
"+39 5609 16705669",833380542556971,222613794073288,41567275099807730297071
"+39 717 15436065",760321595774985,222202427049205,39387720045300763803025
"+39 84 8044699",258878859070151,222184456396672,04331633186699841821676
"+39 92 4158455",082364736758971,222772744669548,89094537811390488594404
"+39 664 47517956",937360085652796,222759159557778,81352346640800274606896
"+39 230 4514832",598763359378073,222851061227070,08534009911611032933732
"+39 01 6689562",932222187221851,222179545314466,52369653335434256743104
"+39 35 61204368",469059415931062,222160561642769,22143962274544358362613
"+39 58 37205051",892176257596709,222319392366817,70620961528709060552374
"+39 91 7287653",098555019632633,222041039879181,65209532001033606440869
"+39 6330 6108681",976438168514943,222760275651827,02262731981461555508544
"+39 9129 95790882",143354343415237,222837830213982,26953262143974013916889
"+39 253 3218954",181547167030833,222923389827042,76367092949067917335389
"+39 55 41745233",948741747767584,222812107830286,31701090862560437250564
"+39 404 34137819",850820353274584,222880012174875,12353857971032208207620
"+39 649 12954415",803660781515135,222260175482512,71710699042945162234550
"+39 417 42692716",973890341825245,222262416909400,77976240142547047819635
