id,bank_office,phone_number
4329759487370527,3069.9546,"+39 6704 34937057"
4093227185315230,5164.1627,"+39 025 03 82 3802"
4426983800440930,3127.1601,"+39 561 73 68 2281"
4656189816222186,5584.1721,"+39 338 63841250"
4664173225834302,3002.1625,"+39 5089 0276688"
4939099037988482,1030.1605,"+39 351 47 48 0235"
4574664043231399,3032.1604,"+39 1565 9415509"
4199196479985631,3226.1612,"+39 088 21264189"
4328792848670971,3598.1600,"+39 3484 95215392"
4608320895517977,2002.1609,"+39 8138 7574193"
4386429970161854,6230.1607,"+39 47 3444431"
4486827697462779,3069.9420,"+39 1427 02328866"
4216118970099174,3204.1603,"+39 53 32225153"
4047684223827724,3069.1669,"+39 887 40 42 8356"
4935349545337001,3069.9502,"+39 181 14 54 6620"
4113959853542010,5387.1604,"+39 4333 0021195"
4790948044234298,3069.9420,"+39 1757 87896657"
4841526702346247,6320.1600,"+39 58 44933144"
4241941433988330,7601.1673,"+39 117 7801693"
4514698308628181,2002.1653,"+39 835 80 55 5036"
4630715264153746,3069.9586,"+39 6314 91562764"
4471132262199220,5048.1659,"+39 24 1170820"
4661425399343152,5584.1770,"+39 141 87 25 4721"
4629398545737448,3069.9786,"+39 6510 1660599"
4824836027228553,7601.1678,"+39 00 1470343"
4475569685847529,7601.1713,"+39 4086 68657137"
4004348761043828,5584.1774,"+39 215 5927031"
4674858153519986,5696.1635,"+39 781 87 35 9008"
4044003340019961,3069.9556,"+39 797 5097538"
4135984777167037,5048.1663,"+39 6912 10682353"
4137884769067195,10633.1600,"+39 835 75312090"
4942994080436675,3001.1622,"+39 5333 4245523"
4262854655226210,1030.1651,"+39 195 9430702"
4274546990218102,3069.9526,"+39 924 78418652"
4480919983902430,6230.1623,"+39 53 71012072"
4524042533212107,7601.1680,"+39 797 7509472"
4681498653243422,5040.1611,"+39 76 49597885"
4529952771567423,2002.1613,"+39 83 32754797"
4188293445008805,3069.1606,"+39 030 89 17 3457"
4148111627526635,2008.1671,"+39 106 49114304"
4904733702740064,5696.1624,"+39 15 9438046"
4720215031222842,5584.1645,"+39 59 13630421"
4675343060595964,7601.1628,"+39 971 8959977"
4829689900646978,6230.1640,"+39 886 89 05 0174"
4104672973820833,5164.1621,"+39 936 54190649"
4057945419177746,5048.1621,"+39 6927 38335765"
4141859440426295,2008.1766,"+39 109 2887600"
4720655447951056,3226.1609,"+39 892 3693559"
4893420269949618,7601.1664,"+39 814 7585956"
4593481074807568,3104.1605,"+39 6612 90828543"
4331298407080433,1025.1622,"+39 32 5106247"
4647322589889160,5584.1651,"+39 523 66859245"
4124280442847308,7601.1664,"+39 838 55 79 0861"
4180419893613006,3069.9503,"+39 624 45 51 3922"
4986497049339367,5048.1671,"+39 145 0513144"
4687916855382528,3268.1605,"+39 416 86779289"
4790645545108852,5584.1652,"+39 83 80847370"
4163666899046950,3069.9537,"+39 386 63 02 4222"
4778882102745893,5696.1620,"+39 050 13931091"
4303483541217877,5748.1601,"+39 181 5238404"
4421051629852217,5584.1718,"+39 1125 2246272"
4456860936443017,2008.1642,"+39 1525 06331584"
4874081643862688,1030.1642,"+39 9510 8381848"
4976399045457858,2002.1630,"+39 622 98 54 7564"
4687747164398784,6320.1601,"+39 5563 61811614"
4800883268414128,3104.1605,"+39 79 7926337"
4923026225885657,7601.1672,"+39 14 7857781"
4507238887934152,3494.1600,"+39 46 52973533"
4065991556416927,3069.9784,"+39 834 62 56 9835"
4028475897628420,5387.1607,"+39 022 9982220"
4407489992250965,6230.1796,"+39 894 56122897"
4303721377773335,2008.1757,"+39 767 99 81 0890"
4163559705843894,5034.1610,"+39 767 63323517"
4288054026424160,3069.9569,"+39 671 67 03 8460"
4490900439522194,5034.1630,"+39 173 1831966"
4427251161436403,7601.1659,"+39 4057 6391263"
4388358759968833,7601.1715,"+39 815 0801821"
4640984591929693,7601.20400,"+39 2395 6325175"
4582288913691464,2008.1743,"+39 57 0518888"
4417759932713845,5024.1604,"+39 0943 9260063"
4076610687134988,5034.1602,"+39 67 67837358"
4491189125188432,1025.1662,"+39 55 4961887"
4165422243642633,7601.1611,"+39 204 1151750"
4240753133315081,5048.1693,"+39 76 20449346"
4683791926683889,1030.1633,"+39 82 60427626"
4401117628762659,5034.1612,"+39 6286 29276204"
4114295872964490,5034.1665,"+39 9792 29046042"
4801280626808795,5034.1636,"+39 81 99259180"
4348790349776913,7601.1724,"+39 215 8961204"
4348290765340567,6230.9494,"+39 37 6375648"
4059075615413816,7601.1704,"+39 10 1748983"
4223937950588968,6230.9512,"+39 42 46313450"
4432022365293400,7601.1658,"+39 44 3288818"
4000998658363533,2002.1613,"+39 7570 12646015"
4792906985918335,7601.1690,"+39 8042 52313041"
4918770714068104,2002.1799,"+39 463 77 33 5878"
4431895703276992,5728.1607,"+39 849 47091939"
4501044858040425,1030.1794,"+39 2135 10821354"
4342250893530634,3032.1615,"+39 4820 06047198"
4530278859386362,7601.33572,"+39 0818 2923032"
4455215192366553,5584.1777,"+39 63 3734977"
4759297756285786,5696.1619,"+39 25 08146361"
4452217345911031,3268.1604,"+39 10 9397310"
4437675540990755,2002.1649,"+39 6755 78681158"
4498957598511956,7601.1653,"+39 630 43 94 7163"
4987213491282594,2008.9471,"+39 9311 05566390"
4888668904390435,5034.1614,"+39 264 41 92 3488"
4008310942225878,3001.1622,"+39 28 4064738"
4854344220255377,5048.1670,"+39 010 73 26 2750"
4595843469750554,3001.1632,"+39 673 25 82 8663"
4197999436621237,5584.1770,"+39 988 39608962"
4478673003402038,1030.1609,"+39 2996 8739287"
4798258880427044,5040.1613,"+39 2632 17541747"
4264315389959730,6230.1623,"+39 039 5766697"
4958207945378540,3002.1649,"+39 15 6703317"
4332028993768334,3069.1620,"+39 09 3965056"
4947953705997185,3104.1609,"+39 672 0755480"
4805906227758254,7601.1614,"+39 38 84290422"
4749005283010004,5048.1689,"+39 618 88 75 2268"
4872567916457430,1030.1609,"+39 09 51828104"
4018230122259117,3069.9495,"+39 959 98 31 8683"
4420454605901126,2008.1623,"+39 425 2970467"
4843303164352719,5034.1618,"+39 174 48100590"
4492484467642008,3223.1610,"+39 7949 74241846"
4832094904249728,5034.1660,"+39 3816 06266033"
4459990004068045,3226.1613,"+39 780 91477001"
4492810908098022,6230.1657,"+39 7598 55117835"
4457314573134850,5024.1604,"+39 3231 7378396"
4126636508296052,3069.9526,"+39 757 3144018"
4367721584971766,6230.9449,"+39 090 5524886"
4323930301543682,2008.1601,"+39 249 19 83 8191"
4429142269703174,6230.1619,"+39 141 33323606"
4113617969430948,3556.1604,"+39 9440 1937936"
4937650814062644,2008.1663,"+39 0493 67294603"
4828838116159786,1000.1601,"+39 7677 0156805"
4839712933097718,3069.9486,"+39 672 22 13 4283"
4582208219111249,3069.1629,"+39 072 01386176"
4618534536643418,2008.1683,"+39 7944 8902217"
4246689365615117,2008.1612,"+39 43 9271934"
4765066412715151,3069.9537,"+39 456 32879359"
4533738094963991,2008.9429,"+39 1660 29863156"
4318045180629838,6230.1619,"+39 534 29247796"
4747177170962845,3001.1614,"+39 28 11290012"
4380570350482398,6230.9582,"+39 9911 67375801"
4872805815450241,6230.1653,"+39 03 45720573"
4569523846040828,7601.1649,"+39 980 90129823"
4120439954363070,5164.1623,"+39 138 9136567"
4205724722143443,5040.1613,"+39 75 5822242"
4614325153054482,5040.1620,"+39 3165 9909234"
4129684027152643,7601.1613,"+39 824 4608162"
4455114056816599,5040.1790,"+39 9392 75684079"
4726968654109225,5748.1601,"+39 6779 2964020"
4685386998500257,5034.1625,"+39 39 96378779"
4511799451722053,2008.1626,"+39 5586 22951971"
4720943357617275,3069.9537,"+39 0491 54177422"
4903849467844114,2008.9401,"+39 175 69065651"
4646881506979629,5048.1669,"+39 188 18 20 3217"
4683507460401227,3069.1632,"+39 40 47399396"
4092524653293084,3069.9546,"+39 450 1265078"
4264607728638771,7601.1713,"+39 8778 09320959"
4923535955269981,1025.1612,"+39 84 77497569"
4016655974218138,5040.1606,"+39 62 18413604"
4266981773482346,3268.1602,"+39 42 50203972"
4824990066655448,3069.9515,"+39 04 9534934"
4881938287387598,3032.1610,"+39 77 7091450"
4270341929367566,5048.1689,"+39 476 55 62 7934"
4101964200207139,3069.9752,"+39 94 9821678"
4085850060659024,3069.9537,"+39 255 69365546"
4687354949763323,3069.1687,"+39 221 5018952"
4387105082500952,1030.1663,"+39 6452 1364799"
4853162615036322,2002.1661,"+39 758 11147253"
4322205105619611,3556.1613,"+39 62 41597454"
4410385024039738,5048.1672,"+39 965 59291547"
4308095097006531,5164.1601,"+39 7975 6620486"
4567631008448325,8735.1601,"+39 118 18 81 2093"
4177152564129847,3566.1600,"+39 3290 54269774"
4741363857588162,3268.1607,"+39 0465 0190726"
4031974538451270,5040.1624,"+39 87 98156740"
4668491378942243,1025.1662,"+39 871 41 10 5858"
4270378068772123,6300.1600,"+39 8855 00023115"
4364012024831882,3069.1620,"+39 97 9286360"
4530525341137831,5040.1609,"+39 4159 76922701"
4767658761927151,3069.1735,"+39 3580 0725544"
4086510056952168,3002.1612,"+39 0818 6174188"
4846609314755776,6230.1632,"+39 20 9244803"
4136845108975654,3069.9406,"+39 090 90 60 4157"
4716336465562473,5696.1632,"+39 635 6278136"
4764944973446088,5728.1617,"+39 97 2925623"
4235574124833313,5048.1669,"+39 800 4574436"
4449935200469805,3400.1699,"+39 801 65 08 1102"
4445602532627138,7601.1655,"+39 964 7423713"
4335256282416979,5584.1776,"+39 172 0860298"
4017516445505363,10632.1600,"+39 835 99876712"
4315392741904182,7601.1715,"+39 7262 6787342"
4078309940205267,1030.1660,"+39 276 3930149"
4621406017355793,5164.1617,"+39 5930 4208041"
4442818950577935,2008.1631,"+39 4416 3087574"
4960960907815513,5048.1798,"+39 1514 28585162"
4634730375462072,7601.1622,"+39 469 06195443"
4893178428365155,3069.9583,"+39 425 3341455"
4058085930910116,7601.1714,"+39 477 73729847"
4068283614522368,5048.1692,"+39 339 46863690"
4539941886765475,7601.1625,"+39 90 5149762"
4278164726946974,7601.1638,"+39 089 56 12 2129"
4093410279965058,5696.1799,"+39 838 19034122"
4467380134799844,5034.1610,"+39 517 3691673"
4827240118686471,6230.1609,"+39 537 1852383"
4588630353252394,2008.1661,"+39 7412 63252614"
4174568648194759,3069.1772,"+39 13 3249067"
4105441372370926,5048.1665,"+39 800 06 85 1363"
4961495947616489,5034.1610,"+39 56 6481726"
4319355627382480,3226.1601,"+39 28 0192436"
4477885734638729,7601.1655,"+39 46 29505737"
4017011319601035,3069.9454,"+39 742 54333866"
4057314046318993,3069.9546,"+39 1218 2352412"
4919211207957379,2002.1662,"+39 154 91 50 4780"
4408296436431807,5048.1679,"+39 36 8861234"
4695971603521364,1020.1609,"+39 29 23559909"
4335580794425529,3002.1641,"+39 8675 3870120"
4832022045872876,7601.1727,"+39 877 2371723"
4772953144486253,2008.1775,"+39 503 4490108"
4487286830512025,2008.1752,"+39 063 45236467"
4757880989397296,5040.1610,"+39 92 5638079"
4649640422009888,3069.9497,"+39 488 06000748"
4471878683184031,3002.1622,"+39 99 6329470"
4962633693097533,5728.1605,"+39 5113 4237214"
4569671180244611,5034.1622,"+39 6429 42365283"
4675217339010858,3001.1631,"+39 61 3731875"
4595785273049238,6230.9582,"+39 163 6738923"
4981008761711140,5080.1600,"+39 25 6036566"
4791683103536858,7601.1656,"+39 730 13 94 9877"
4501888836730147,3223.1607,"+39 002 25982437"
4686506760695055,2008.1650,"+39 0306 1040167"
4411654701802232,1030.1639,"+39 19 93942155"
4404933823963216,3069.9523,"+39 08 5272104"
4931422683988036,1030.1796,"+39 557 05 92 5474"
4942415837886293,6320.1601,"+39 466 88 99 7227"
4284682857146132,5696.1633,"+39 02 67511826"
4687147296384051,7601.1678,"+39 22 3044066"
4275809898461813,5048.1662,"+39 02 3301817"
4718278558672157,5048.1684,"+39 2923 03272937"
4764196946008202,3069.9504,"+39 95 6240951"
4348068913494373,5034.1628,"+39 96 5099049"
4488066162647022,3069.9497,"+39 3764 0097749"
4021046877205781,1030.1786,"+39 1373 6417469"
4344240880303606,3069.1659,"+39 9863 5046747"
4306042444855212,1025.1622,"+39 968 34 90 4525"
4549405589432971,2002.1642,"+39 189 09843298"
4183855807621048,7601.1605,"+39 7093 22655314"
4594756408583566,6230.1628,"+39 8363 4019251"
4399456131755709,1030.1639,"+39 668 6377620"
4085228675391939,6230.9455,"+39 2962 18530996"
4796584565315978,5387.1610,"+39 990 47 85 8488"
4914542602673293,5034.1665,"+39 5755 7791415"
4471803501347008,5696.1630,"+39 818 8204167"
4415886386830098,2002.1619,"+39 900 11609623"
4824049333096629,2008.9408,"+39 67 2685131"
4119111846438963,3069.9490,"+39 29 88153327"
4339572999606074,2002.1645,"+39 7691 29570774"
4365390793765872,7601.1669,"+39 45 09029967"
4420416270295779,6230.9494,"+39 9541 0296037"
4569210773966635,3069.1629,"+39 779 68 73 0385"
4908893917747993,5034.1622,"+39 36 95671104"
4552777372704319,3002.1641,"+39 4038 3954726"
4683259671298063,5696.1638,"+39 5304 7603895"
4979021768214137,5034.1632,"+39 566 2093710"
4404045772468897,3556.1614,"+39 96 8805521"
4046817427591131,2008.1611,"+39 417 26350695"
4855327531637325,7601.1719,"+39 7379 1987344"
4200717837610244,3069.1614,"+39 036 8761602"
4525341704622410,2008.1619,"+39 674 78401838"
4808835657265604,3069.1631,"+39 731 4899151"
4914474092179757,7601.1621,"+39 8512 6107401"
4922538477915496,3069.9449,"+39 193 9993105"
4690661581315948,6070.1708,"+39 1741 47923454"
4911539909865393,2008.1614,"+39 03 12629830"
4609493963001379,2008.1624,"+39 682 7305777"
4525991926507680,5584.33991,"+39 605 1973153"
4229996998645168,3002.1633,"+39 7565 04795122"
4133059144275995,3002.1627,"+39 28 3266929"
4506769725580584,1030.1669,"+39 3838 52959041"
4168478612041853,2008.9420,"+39 2814 28414568"
4666453608027106,3139.1600,"+39 4672 80527580"
4517055598837633,1025.1640,"+39 916 1747684"
4794361182484707,2008.1679,"+39 276 24 78 1746"
4362574141577989,3002.1625,"+39 585 83 12 5183"
4380195937102911,1025.1636,"+39 5802 7656511"
4758590314566304,5034.1638,"+39 674 55 94 4554"
4970467357238681,7601.1683,"+39 981 54 83 8495"
4613781875597565,1030.1602,"+39 6489 8298777"
4655946545530465,5584.1652,"+39 97 3764560"
4746069367639461,8735.1600,"+39 92 36205389"
4317798400226071,3069.9458,"+39 09 1540067"
4862908892108393,5584.1776,"+39 91 02780466"
4207729592797473,1030.1791,"+39 58 89965161"
4262528831007906,2002.1654,"+39 336 55 54 8170"
4693393046238161,5034.1606,"+39 465 8773192"
4725709216786378,5156.1600,"+39 568 99869749"
4710383462880462,3069.9752,"+39 822 40442700"
4854703956446106,7601.1636,"+39 804 9234603"
4399711038527639,6230.1607,"+39 49 8874763"
4757446706323799,2008.1748,"+39 31 8427921"
4695357976667200,7601.1609,"+39 2186 07180509"
4746855713345716,5040.1614,"+39 36 5680408"
4839453783604838,3069.9552,"+39 28 73499833"
4948119374165459,3223.1602,"+39 512 39 75 2319"
4537692088183858,3127.1601,"+39 238 55093935"
4912554292292930,5040.1603,"+39 0043 50459362"
4884088842787655,3069.9492,"+39 499 71652152"
4571235619795332,2008.1623,"+39 24 17480941"
4878888167758381,3556.1604,"+39 156 73892864"
4582139868855507,2002.1655,"+39 1597 4498611"
4143769245408588,5584.1774,"+39 55 72639471"
4491555693160385,3069.9578,"+39 89 57202830"
4763908072083762,1030.1637,"+39 224 4130517"
4313295876489766,7601.1621,"+39 099 1329025"
4829990195113355,7601.1617,"+39 83 3565233"
4097487999079648,3069.9752,"+39 47 85280062"
4532094307835613,3069.1669,"+39 4765 89030435"
4493610028332296,3069.9587,"+39 7050 3572237"
4711460348132315,3069.1637,"+39 839 04 30 6238"
4340494627253632,1030.1668,"+39 330 09797854"
4840970630369726,6230.9503,"+39 2852 9481647"
4289896053447434,6230.9798,"+39 31 55940338"
4608652414065074,3069.9525,"+39 92 17645021"
4291795914231381,3069.1762,"+39 429 8547127"
4658036879466440,3226.1606,"+39 73 95248083"
4962466343486099,7601.1610,"+39 3751 30378984"
4336602336130596,2008.1614,"+39 78 0848757"
4517457747549004,1030.1602,"+39 70 8222091"
4184910173967852,3002.1612,"+39 6403 61995085"
4825953871815812,1025.1610,"+39 350 58 81 6003"
4527595855589946,3104.1616,"+39 43 12297625"
4588496871561777,3002.1624,"+39 018 82232171"
4678715849472507,3583.1600,"+39 5679 19419823"
4519984286220844,1030.1794,"+39 40 92368647"
4348812652635864,7601.1648,"+39 57 6232450"
4055803386895216,5040.1791,"+39 6203 68531112"
4923507688483734,6070.1714,"+39 421 94 45 4619"
4380454424423177,1030.1668,"+39 9168 44819877"
4050117377415362,5584.1718,"+39 009 08 48 0159"
4923307190572102,3069.9543,"+39 957 94 31 4033"
4632078661491989,2008.1610,"+39 86 71692659"
4558215962824282,3002.1619,"+39 284 39484450"
4817330945896179,5034.1623,"+39 834 81240973"
4529300683193443,7601.1613,"+39 8549 53010424"
4861635892113781,5034.1627,"+39 43 71474823"
4928763653485643,7601.1620,"+39 941 99 46 5433"
4498401066018202,3069.9483,"+39 7076 2661151"
4377112036427342,3069.9561,"+39 401 0973902"
4626190464253355,3069.9460,"+39 577 60 32 1198"
4587151641584309,3069.9562,"+39 24 84746538"
4057007863279310,2008.9408,"+39 50 8471003"
4867999907797499,5584.1657,"+39 9731 2797907"
4760874725222855,1030.1638,"+39 98 51420285"
4154667786768764,5584.1721,"+39 98 2307347"
4460751945647793,2008.1640,"+39 5773 7167463"
4825782037171236,3104.1607,"+39 643 32955181"
4624435149970010,3226.1614,"+39 85 3290283"
4541375783804762,2008.1778,"+39 009 15763443"
4120237898311613,2002.1662,"+39 49 6357378"
4449281979539837,3226.1606,"+39 560 48799233"
4152066322105296,5584.1642,"+39 88 5107827"
4207945513376714,2008.1610,"+39 3649 0855600"
4993442085721194,5048.1687,"+39 57 24378075"
4736410618530814,2008.1626,"+39 412 71823877"
4974914133110730,5034.1634,"+39 6129 17581086"
4895864833142325,3069.9400,"+39 2046 77967168"
4417877753952290,3069.9583,"+39 092 33100090"
4423470655756829,2008.9403,"+39 52 1369998"
4234205591527200,3223.1609,"+39 56 78028015"
4432330020252517,7601.1691,"+39 75 6147527"
4187073276693292,5034.1626,"+39 85 6163886"
4469082455924542,3204.1604,"+39 433 0118262"
4379566621421101,6230.1658,"+39 54 5806923"
4672708501050378,7601.1613,"+39 049 7824287"
4881948093362016,5048.1685,"+39 420 11 56 4653"
4564925059526598,3002.1608,"+39 8731 40302977"
4200552755063617,5387.1601,"+39 07 3549879"
4901534569705601,5584.1722,"+39 41 8530694"
4099188305254390,5428.1684,"+39 444 0224250"
4314687360547191,3069.9473,"+39 95 0844833"
4406059177922828,5387.1603,"+39 033 15 80 3407"
4339578280959650,5696.1636,"+39 644 40 07 3786"
4753833071353242,3069.9571,"+39 27 48439275"
4057911603968233,5164.1627,"+39 80 2254815"
4956140012970315,3598.1600,"+39 8026 16676120"
4376535114481552,1030.1794,"+39 8517 21942002"
4283284823636097,5040.1629,"+39 575 40502555"
4356094544615367,3104.1603,"+39 82 6800538"
4349766567504046,2008.1753,"+39 591 8582883"
4594188121296237,2002.1633,"+39 896 54141563"
4090318217210581,5034.1627,"+39 5816 3218407"
4858174940178120,7601.1613,"+39 25 4722501"
4777600041019183,1025.1667,"+39 315 23 09 3833"
4726290763004084,6050.1601,"+39 981 37401756"
4982472595241659,5034.1639,"+39 724 3120165"
4979902195835067,1025.1663,"+39 970 28 48 7837"
4719918978082151,5034.1628,"+39 279 0765758"
4381203875357817,7601.1632,"+39 8171 70615662"
4041705135373626,3069.9463,"+39 22 9420422"
4938794299829728,3002.1616,"+39 856 05 47 6017"
4611581826564769,5696.1625,"+39 83 07675383"
4375240736230526,7601.1717,"+39 93 0569798"
4783325446074862,1030.1603,"+39 231 53 63 5688"
4796449782719172,3069.1799,"+39 07 5503085"
4548659263287264,3069.1757,"+39 9086 74706727"
4235097436709468,7601.1646,"+39 988 57 27 2596"
4771312076613585,2008.1623,"+39 66 6869742"
4219931540472565,3069.9588,"+39 94 19827932"
4467741833087361,3069.9582,"+39 958 5551564"
4036906701417907,3127.1790,"+39 10 43650390"
4136875012854208,3069.9468,"+39 6990 62068825"
4933927409009790,2008.9448,"+39 38 24069049"
4209211670424211,3069.1605,"+39 3319 4830390"
4070405307312106,3069.9479,"+39 053 5866012"
4458661778223428,5034.1624,"+39 4217 32863305"
4427563829032709,6230.1602,"+39 2028 61035298"
4245736414246708,3002.1624,"+39 0473 9837263"
4190033594200522,3204.1603,"+39 19 39546894"
4074431186311965,6300.1600,"+39 88 2956537"
4683691325394544,6230.1621,"+39 43 5381624"
4432541648897745,5034.1613,"+39 131 29908377"
4694005201938067,3226.1600,"+39 323 2042703"
4931608906168501,6230.9503,"+39 00 85557076"
4175289021437082,6230.9572,"+39 24 5436404"
4620025089463706,2008.1671,"+39 691 13547450"
4139764831624892,7601.1622,"+39 79 1151498"
4990036061573471,2008.1620,"+39 671 1938597"
4511944035578247,5387.1601,"+39 553 58 27 1018"
4092463678722407,7601.1670,"+39 3203 98763424"
4900028319829440,5040.1702,"+39 0635 1292149"
4148639494751514,5584.1642,"+39 6108 8762980"
4523955634326321,5584.1651,"+39 2788 2764547"
4887648262982206,2008.1601,"+39 53 96849167"
4037894530804421,5728.1606,"+39 2145 4217483"
4613036081210432,7601.1676,"+39 3600 64736600"
4892358413323432,2008.1767,"+39 2052 7958384"
4930046029397833,3069.9497,"+39 3292 4351802"
4090615230509786,3226.1608,"+39 45 5296389"
4609301824492036,5164.1626,"+39 912 62467076"
4885478898824180,1030.1635,"+39 5249 81772317"
4725003503746059,7601.1690,"+39 30 6737667"
4310933192874799,2008.1669,"+39 364 0015429"
4039010396816890,3069.9567,"+39 24 4968575"
4541424046019063,7601.1714,"+39 8458 82882432"
4817469521433294,2008.1614,"+39 208 2935353"
4558889673463224,3069.9563,"+39 919 04 93 2457"
4486517273789907,2002.1655,"+39 267 1270828"
4183999355200746,2008.1640,"+39 1902 70434903"
4163070241595980,1030.1606,"+39 31 0829215"
4661008451403849,5696.1624,"+39 550 3837886"
4610140031979287,7601.33572,"+39 37 4570735"
4601787912939771,3069.1742,"+39 740 95 03 2398"
4488379081131717,1030.1787,"+39 027 7824643"
4176040751153244,3069.9537,"+39 41 95313430"
4664702775755424,5034.1611,"+39 9356 34678585"
4789842159155500,2002.1642,"+39 179 80 69 9550"
4776703529753041,3069.1771,"+39 9155 4538966"
4056349476958794,6230.1655,"+39 045 6911367"
4792535814957840,6230.1622,"+39 749 52887420"
4489331611990475,2002.1624,"+39 3245 5612333"
4371594384666918,5584.1652,"+39 802 60 57 4815"
4872774514003620,2008.1757,"+39 128 33605932"
4460651111448085,5696.1618,"+39 39 5119412"
4314067605693862,5034.1665,"+39 3853 0340017"
4120864382253017,5584.1744,"+39 106 5630948"
4740612844855014,1030.1637,"+39 20 9244803"
4428543332294540,7601.1682,"+39 4087 4945582"
4471010827068702,3069.9471,"+39 0451 6217674"
4592403009931512,3069.9495,"+39 800 4574436"
4743983583348850,1030.1790,"+39 45 7004774"
4084428062064039,3001.1630,"+39 049 05 26 2728"
4041116294324758,2002.1665,"+39 750 8167248"
4347368650755429,1030.1656,"+39 6323 51134682"
4828586324790146,3223.1600,"+39 332 23 09 3804"
4056683085149092,1030.1667,"+39 391 10 07 8678"
4455566304603162,3069.9504,"+39 530 4245056"
4480160430428493,5696.1638,"+39 506 86 58 1439"
4622154217670558,3069.1757,"+39 29 6651032"
4684909572352794,7600.38001,"+39 25 13794461"
4944602699811588,1030.1653,"+39 0724 9544401"
4878947673211226,2008.1646,"+39 195 85 52 2567"
4493988118978909,3104.1609,"+39 2076 13339648"
4498258592144294,3069.9512,"+39 1410 74472268"
4164549934169715,3069.1608,"+39 16 16372967"
4982703905573609,6320.1601,"+39 7709 71692083"
4855573913472647,3069.9784,"+39 17 4785686"
4467960455203797,3127.1652,"+39 2956 75674629"
4247537446390433,3204.1604,"+39 091 3494567"
4685908438376632,2008.1618,"+39 598 8014209"
4743317621082769,7601.1665,"+39 685 2980789"
4421091536422647,1025.1614,"+39 257 66860665"
4366089471021850,3069.1614,"+39 84 4963000"
4977219722873822,5387.1611,"+39 6269 5203418"
4969304277504830,2008.1743,"+39 7182 62896961"
4045919874828999,7601.1678,"+39 141 33350087"
4422995343498310,7601.1605,"+39 42 46313450"
4218430486657801,5080.1601,"+39 263 30374294"
4182736623344737,7601.1621,"+39 540 68791390"
4068323716719742,1030.1796,"+39 5497 46249778"
4916018648475256,5080.1600,"+39 68 61426959"
